#,Text,Gloss,NpyFilesRoot
487,Did you notice any unusual swelling or redness?,SWELLING REDNESS UNUSUAL NOTICE YOU?,/SWELLING REDNESS UNUSUAL NOTICE YOU?/*.npy
488,Did you notice changes in the symptoms?,SYMPTOMS CHANGE NOTICE YOU?,/SYMPTOMS CHANGE NOTICE YOU/*.npy
489,Did you notice changes in urine color or frequency?,URINE COLOR FREQUENCY CHANGE NOTICE YOU?,/URINE COLOR FREQUENCY CHANGE NOTICE YOU/*.npy
490,Did you notice changes in your physical strength?,PHYSICAL STRENGTH CHANGE NOTICE YOU?,/PHYSICAL STRENGTH CHANGE NOTICE YOU/*.npy
491,did you notice changes in your vision or hearing?,VISION HEARING CHANGE NOTICE YOU?,/VISION HEARING CHANGE NOTICE YOU?/*.npy
492,Did you notice infection signs like redness or swelling?,INFECTION SIGNS REDNESS SWELLING NOTICE YOU?,/INFECTION SIGNS REDNESS SWELLING NOTICE YOU/*.npy
493,Did you notice mobility changes?,MOBILITY CHANGE NOTICE YOU?,/MOBILITY CHANGE NOTICE YOU/*.npy
494,Did you notice mood changes?,MOOD CHANGE NOTICE YOU?,/MOOD CHANGE NOTICE YOU/*.npy
495,Did you notice positive changes since the last visit?,POSITIVE CHANGES SINCE LAST VISIT NOTICE YOU?,/POSITIVE CHANGES SINCE LAST VISIT NOTICE YOU/*.npy
496,Did you notice unusual bleeding?,BLEEDING UNUSUAL NOTICE YOU?,/BLEEDING UNUSUAL NOTICE YOU/*.npy
497,did you notice unusual side effects?,SIDE EFFECTS UNUSUAL NOTICE YOU?,/SIDE EFFECTS UNUSUAL NOTICE YOU/*.npy
498,Did you notice unusual swelling?,SWELLING UNUSUAL NOTICE YOU?,/SWELLING UNUSUAL NOTICE YOU/*.npy
499,Did you noticed any new moles or skin changes?,MOLES NEW OR SKIN CHANGE NOTICE YOU?,/MOLES NEW OR SKIN CHANGE NOTICE YOU/*.npy
500,Did you noticee any improvement since your last visit?,IMPROVEMENT NOTICE SINCE LAST VISIT?,/IMPROVEMENT NOTICE SINCE LAST VISIT?/*.npy
501,Did you receive all the vaccines?,ALL VACCINES RECEIVE YOU?,/ALL VACCINES RECEIVE YOU/*.npy
502,Did you receive your yearly flu vaccine?,FLU VACCINE YEARLY RECEIVE YOU?,/FLU VACCINE YEARLY RECEIVE YOU/*.npy
503,Did you recently have the thyroid levels checked?,THYROID LEVELS CHECK RECENT HAVE YOU?,/THYROID LEVELS CHECK RECENT HAVE YOU/*.npy
504,Did you recently start or stop any medications?,MEDICATION RECENT START OR STOP YOU?,/MEDICATION RECENT START OR STOP YOU/*.npy
505,Did you schedule the rehabilitation sessions?,REHABILITATION SESSIONS SCHEDULE YOU?,/REHABILITATION SESSIONS SCHEDULE YOU/*.npy
506,Did you schedule your follow-up appointment yet?,FOLLOW-UP APPOINTMENT SCHEDULE YET YOU?,/FOLLOW-UP APPOINTMENT SCHEDULE YET YOU/*.npy
507,did you schedule your mammogram this year?,MAMMOGRAM THIS YEAR SCHEDULE YOU?,/MAMMOGRAM THIS YEAR SCHEDULE YOU/*.npy
508,Did you start taking any new medications?,MEDICATION NEW START TAKE YOU?,/MEDICATION NEW START TAKE YOU/*.npy
509,Did you take any vaccine in the past year?,VACCINE LAST YEAR TAKE YOU?,/VACCINE LAST YEAR TAKE YOU/*.npy
510,Did you take any vaccine last year?,VACCINE LAST YEAR TAKE YOU?,/VACCINE LAST YEAR TAKE YOU/*.npy
511,Did you travel recently?,TRAVEL RECENT YOU?,/TRAVEL RECENT YOU/*.npy
512,did you try medications for this issue?,THIS ISSUE MEDICATION TRY YOU?,/THIS ISSUE MEDICATION TRY YOU?/*.npy
513,Did you try over-the-counter medications?,OVER-THE-COUNTER MEDICATION TRY YOU?,/OVER-THE-COUNTER MEDICATION TRY YOU/*.npy
514,Did you visit the dentist in the past six months?,DENTIST VISIT LAST SIX MONTHS HAVE YOU?,/DENTIST VISIT LAST SIX MONTHS HAVE YOU/*.npy
515,do i need to be fasting for this test?,"THIS TEST, FASTING NEED I?","/THIS TEST, FASTING NEED I?/*.npy"
516,do i need to fast for this test?,"THIS TEST, FASTING NEED I?","/THIS TEST, FASTING NEED I?/*.npy"
517,Do not eat or drink anything after midnight before your surgery,MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY,/MIDNIGHT AFTER NO EAT DRINK BEFORE SURGERY/*.npy
518,do these symptoms indicate something serious?,THESE SYMPTOMS SERIOUS INDICATE?,/THESE SYMPTOMS SERIOUS INDICATE?/*.npy
519,Do we need specific equipment for their home care?,"CARE THEIR, EQUIPMENT SPECIFIC HOME NEED?","/CARE THEIR, EQUIPMENT SPECIFIC HOME NEED?/*.npy"
520,Do you attend all your scheduled physical therapy sessions?,PHYSICAL THERAPY SESSIONS SCHEDULED ATTEND YOU?,/PHYSICAL THERAPY SESSIONS SCHEDULED ATTEND YOU/*.npy
521,Do you attend the physical therapy sessions?,PHYSICAL THERAPY SESSIONS ATTEND YOU?,/PHYSICAL THERAPY SESSIONS ATTEND YOU/*.npy
522,Do you attend the recommended therapy sessions?,THERAPY SESSIONS RECOMMEND ATTEND YOU?,/THERAPY SESSIONS RECOMMEND ATTEND YOU/*.npy
523,Do you attend the regular follow-up appointments?,FOLLOW-UP APPOINTMENTS REGULAR ATTEND YOU?,/FOLLOW-UP APPOINTMENTS REGULAR ATTEND YOU/*.npy
524,Do you attend the support groups?,SUPPORT GROUPS ATTEND YOU?,/SUPPORT GROUPS ATTEND YOU/*.npy
525,Do you attend your follow-up appointments?,FOLLOW-UP APPOINTMENTS ATTEND YOU?,/FOLLOW-UP APPOINTMENTS ATTEND YOU/*.npy
526,Do you avoid high-sodium food?,FOOD HIGH-SODIUM AVOID YOU?,/FOOD HIGH-SODIUM AVOID YOU/*.npy
527,Do you avoid smoking and alcohol?,SMOKING ALCOHOL AVOID YOU?,/SMOKING ALCOHOL AVOID YOU/*.npy
528,do you change the bandage frequently?,BANDAGE CHANGE FREQUENTLY YOU?,/BANDAGE CHANGE FREQUENTLY YOU/*.npy
529,Do you change your bandages as directed?,"BANDAGES CHANGE AS DIRECTED, HAVE YOU?","/BANDAGES CHANGE AS DIRECTED, HAVE YOU/*.npy"
530,Do you check wound infection signs?,WOUND INFECTION SIGNS CHECK YOU?,/WOUND INFECTION SIGNS CHECK YOU/*.npy
531,Do you consider participating in a clinical trial?,CLINICAL TRIAL PARTICIPATE CONSIDER YOU?,/CLINICAL TRIAL PARTICIPATE CONSIDER YOU/*.npy
532,Do you do anything to avoid work or home stress?,STRESS WORK HOME AVOID DO ANYTHING YOU?,/STRESS WORK HOME AVOID DO ANYTHING YOU/*.npy
533,Do you do regular breast health self-examinations?,BREAST HEALTH SELF-EXAM REGULAR YOU?,/BREAST HEALTH SELF-EXAM REGULAR YOU/*.npy
534,Do you eat enough protein?,PROTEIN EAT ENOUGH YOU?,/PROTEIN EAT ENOUGH YOU/*.npy
535,Do you eat well to support healing?,"HEALING SUPPORT, EATING WELL YOU?","/HEALING SUPPORT, EATING WELL YOU/*.npy"
536,Do you elevate your legs to reduce swelling?,LEGS ELEVATE REDUCE SWELLING YOU?,/LEGS ELEVATE REDUCE SWELLING YOU/*.npy
537,do you exercise often?,OFTEN EXERCISE YOU DO?,/OFTEN EXERCISE YOU DO?/*.npy
538,Do you exercise regularly?,EXERCISE REGULAR YOU?,/EXERCISE REGULAR YOU/*.npy
539,Do you experienc allergic reactions to past medications?,MEDICATION PAST ALLERGIC REACTIONS EXPERIENCE YOU?,/MEDICATION PAST ALLERGIC REACTIONS EXPERIENCE YOU/*.npy
540,Do you experienc side effects from this medication?,MEDICATION THIS SIDE EFFECTS EXPERIENCE YOU?,/MEDICATION THIS SIDE EFFECTS EXPERIENCE YOU/*.npy
541,Do you experience anxiety about upcoming tests?,TESTS UPCOMING ANXIETY EXPERIENCE YOU?,/TESTS UPCOMING ANXIETY EXPERIENCE YOU/*.npy
542,Do you experience any changes in your mood or behavior?,MOOD BEHAVIOR CHANGE EXPERIENCE YOU?,/MOOD BEHAVIOR CHANGE EXPERIENCE YOU?/*.npy
543,Do you experience any dizziness?,DIZZINESS EXPERIENCE YOU?,/DIZZINESS EXPERIENCE YOU/*.npy
544,Do you experience any nausea?,NAUSEA EXPERIENCE YOU?,/NAUSEA EXPERIENCE YOU/*.npy
545,Do you experience any numbness or tingling?,NUMBNESS TINGLING EXPERIENCE YOU?,/NUMBNESS TINGLING EXPERIENCE YOU?/*.npy
546,Do you experience any stomache?,STOMACHACHE EXPERIENCE YOU?,/STOMACHACHE EXPERIENCE YOU/*.npy
547,Do you experience any stress or anxiety related to your health?,STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?,/STRESS ANXIETY HEALTH RELATED EXPERIENCE YOU?/*.npy
548,do you experience any urinary problems?,URINARY PROBLEMS EXPERIENCE YOU?,/URINARY PROBLEMS EXPERIENCE YOU?/*.npy
549,Do you experience chest pain during exercise?,CHEST PAIN EXERCISE DURING FEEL YOU?,/CHEST PAIN EXERCISE DURING FEEL YOU/*.npy
550,Do you experience discomfort?,DISCOMFORT EXPERIENCE YOU?,/DISCOMFORT EXPERIENCE YOU/*.npy
551,Do you experience fever or chills?,FEVER CHILLS EXPERIENCE YOU?,/FEVER CHILLS EXPERIENCE YOU/*.npy
552,do you experience joint stiffness in the mornings?,JOINT STIFFNESS MORNING EXPERIENCE YOU?,/JOINT STIFFNESS MORNING EXPERIENCE YOU/*.npy
553,Do you experience medication side effects?,MEDICATION SIDE EFFECTS EXPERIENCE YOU?,/MEDICATION SIDE EFFECTS EXPERIENCE YOU/*.npy
554,Do you experience new symptoms in your condition?,CONDITION SYMPTOMS NEW EXPERIENCE YOU?,/CONDITION SYMPTOMS NEW EXPERIENCE YOU/*.npy
555,Do you experience pain or discomfort?,PAIN DISCOMFORT EXPERIENCE YOU?,/PAIN DISCOMFORT EXPERIENCE YOU/*.npy
556,Do you experience side effects recently?,SIDE EFFECTS RECENT EXPERIENCE YOU?,/SIDE EFFECTS RECENT EXPERIENCE YOU/*.npy
557,Do you experience sleep disturbances?,SLEEP DISTURBANCES EXPERIENCE YOU?,/SLEEP DISTURBANCES EXPERIENCE YOU?/*.npy
558,Do you experience stress because of the condition?,STRESS BECAUSE CONDITION EXPERIENCE YOU?,/STRESS BECAUSE CONDITION EXPERIENCE YOU/*.npy
559,Do you experience these symptoms at a specific time of day?,SYMPTOMS TIME SPECIFIC DAY EXPERIENCE?,/SYMPTOMS TIME SPECIFIC DAY EXPERIENCE/*.npy
560,Do you experience this pain for the first time?,PAIN THIS FIRST TIME EXPERIENCE YOU?,/PAIN THIS FIRST TIME EXPERIENCE YOU/*.npy
561,Do you experience unusual bruising?,BRUISING UNUSUAL EXPERIENCE YOU?,/BRUISING UNUSUAL EXPERIENCE YOU/*.npy
562,Do you face any challenges in your daily routine?,DAILY ROUTINE CHALLENGES FACE YOU?,/DAILY ROUTINE CHALLENGES FACE YOU/*.npy
563,Do you feel any discomfort or pain now?,NOW PAIN DISCOMFORT YOU FEEL?,/NOW PAIN DISCOMFORT YOU FEEL?/*.npy
564,Do you feel any pain?,PAIN FEEL YOU?,/PAIN FEEL YOU/*.npy
565,do you feel any relief from the treatment?,TREATMENT RELIEF FEEL YOU?,/TREATMENT RELIEF FEEL YOU?/*.npy
566,Do you feel comfortable with your healthcare team?,HEALTHCARE TEAM COMFORTABLE YOU?,/HEALTHCARE TEAM COMFORTABLE YOU/*.npy
567,Do you feel confident assisting them with their medical needs?,MEDICAL NEEDS ASSIST THEM CONFIDENT YOU?,/MEDICAL NEEDS ASSIST THEM CONFIDENT YOU/*.npy
568,Do you feel confident in managing your condition at home?,CONDITION HOME MANAGE CONFIDENT YOU?,/CONDITION HOME MANAGE CONFIDENT YOU/*.npy
569,Do you feel confident managing your condition?,CONDITION MANAGE CONFIDENT YOU?,/CONDITION MANAGE CONFIDENT YOU/*.npy
570,Do you feel confident to manage your condition at home?,CONDITION HOME MANAGE CONFIDENT YOU?,/CONDITION HOME MANAGE CONFIDENT YOU/*.npy
571,Do you feel depressed or anxious?,DEPRESSED ANXIOUS FEEL YOU?,/DEPRESSED ANXIOUS FEEL YOU?/*.npy
572,Do you feel like the prescribed medication is effective?,MEDICATION PRESCRIBED EFFECTIVE FEEL YOU?,/MEDICATION PRESCRIBED EFFECTIVE FEEL YOU/*.npy
573,Do you feel like you’re making progress?,PROGRESS FEEL YOU?,/PROGRESS FEEL YOU/*.npy
574,Do you feel like you’re receiving enough support from family and friends?,SUPPORT FAMILY FRIENDS ENOUGH FEEL YOU?,/SUPPORT FAMILY FRIENDS ENOUGH FEEL YOU/*.npy
575,Do you feel like your condition is improving or worsening?,CONDITION IMPROVE WORSE FEEL WHICH?,/CONDITION IMPROVE WORSE FEEL WHICH/*.npy
576,Do you feel like your current dosage is effective?,DOSAGE CURRENT EFFECTIVE FEEL YOU?,/DOSAGE CURRENT EFFECTIVE FEEL YOU/*.npy
577,Do you feel like your medications are effective?,MEDICATIONS EFFECTIVE FEEL YOU?,/MEDICATIONS EFFECTIVE FEEL YOU/*.npy
578,Do you feel more fatigued in the morning or evening?,FATIGUE MORNING EVENING MORE FEEL WHICH?,/FATIGUE MORNING EVENING MORE FEEL WHICH/*.npy
579,Do you feel more stressed lately?,STRESS LATELY FEEL MORE YOU?,/STRESS LATELY FEEL MORE YOU/*.npy
580,Do you feel muscle stiffness after therapy sessions?,THERAPY SESSIONS AFTER MUSCLE STIFFNESS FEEL YOU?,/THERAPY SESSIONS AFTER MUSCLE STIFFNESS FEEL YOU/*.npy
581,Do you feel overwhelmed or stressed?,OVERWHELMED STRESSED FEEL YOU?,/OVERWHELMED STRESSED FEEL YOU?/*.npy
582,Do you feel pain while exercising?,EXERCISE PAIN FEEL YOU?,/EXERCISE PAIN FEEL YOU/*.npy
583,Do you feel relief from resting?,REST RELIEF FEEL YOU?,/REST RELIEF FEEL YOU/*.npy
584,Do you feel shortness of breath when lying down?,BREATH SHORT FEEL WHEN LYING-DOWN YOU?,/BREATH SHORT FEEL WHEN LYING-DOWN YOU/*.npy
585,Do you feel supported in your care journey?,CARE JOURNEY SUPPORTED FEEL YOU?,/CARE JOURNEY SUPPORTED FEEL YOU/*.npy
586,Do you feel that the condition is improving or worsening?,CONDITION IMPROVE WORSE FEEL WHICH?,/CONDITION IMPROVE WORSE FEEL WHICH/*.npy
587,Do you feel that the current dosage is effective?,DOSAGE CURRENT EFFECTIVE FEEL YOU?,/DOSAGE CURRENT EFFECTIVE FEEL YOU/*.npy
588,Do you feel that there is enough support from family and friends?,SUPPORT FAMILY FRIENDS ENOUGH FEEL YOU?,/SUPPORT FAMILY FRIENDS ENOUGH FEEL YOU/*.npy
589,Do you feel that your medications are effective?,MEDICATIONS EFFECTIVE FEEL YOU?,/MEDICATIONS EFFECTIVE FEEL YOU/*.npy
590,Do you feel this medication is helping your condition?,"MEDICATION THIS, CONDITION HELP FEEL YOU?","/MEDICATION THIS, CONDITION HELP FEEL YOU/*.npy"
591,Do you feel you are progressing?,PROGRESS FEEL YOU?,/PROGRESS FEEL YOU/*.npy
592,Do you feel your symptoms worsen after eating certain foods?,SYMPTOMS WORSE FEEL AFTER EATING FOOD CERTAIN?,/SYMPTOMS WORSE FEEL AFTER EATING FOOD CERTAIN/*.npy
593,Do you follow a healthy diet?,DIET HEALTHY FOLLOW YOU?,/DIET HEALTHY FOLLOW YOU/*.npy
594,Do you follow the dietary guidelines?,DIET GUIDELINES FOLLOW YOU?,/DIET GUIDELINES FOLLOW YOU/*.npy
595,Do you follow the instruction for wound care?,WOUND CARE INSTRUCTIONS FOLLOW YOU?,/WOUND CARE INSTRUCTIONS FOLLOW YOU/*.npy
596,Do you follow the physical therapy exercises?,PHYSICAL THERAPY EXERCISES FOLLOW YOU?,/PHYSICAL THERAPY EXERCISES FOLLOW YOU/*.npy
597,Do you follow the recommended diet plan?,DIET PLAN RECOMMEND FOLLOW YOU?,/DIET PLAN RECOMMEND FOLLOW YOU/*.npy
598,Do you follow the right diet for your condition?,DIET CONDITION RIGHT FOLLOW YOU?,/DIET CONDITION RIGHT FOLLOW YOU/*.npy
599,Do you follow up with your doctor?,DOCTOR FOLLOW-UP YOU?,/DOCTOR FOLLOW-UP YOU/*.npy
600,Do you handle food safely at home?,FOOD SAFETY HOME HANDLE YOU?,/FOOD SAFETY HOME HANDLE YOU/*.npy
601,Do you have a backup plan if you cannot provide care?,BACKUP PLAN CARE PROVIDE CANNOT HAVE YOU?,/BACKUP PLAN CARE PROVIDE CANNOT HAVE YOU/*.npy
602,Do you have a backup plan in case you can't to provide care?,BACKUP PLAN CARE PROVIDE CANNOT HAVE YOU?,/BACKUP PLAN CARE PROVIDE CANNOT HAVE YOU/*.npy
603,Do you have a balanced diet that includes fruits and vegetables?,DIET BALANCED FRUIT VEGETABLE INCLUDE YOU?,/DIET BALANCED FRUIT VEGETABLE INCLUDE YOU/*.npy
604,Do you have a family history of this condition?,FAMILY HISTORY CONDITION THIS HAVE?,/FAMILY HISTORY CONDITION THIS HAVE/*.npy
605,Do you have a person that you trust to assist with the care plan?,CARE PLAN TRUSTED PERSON HELP HAVE YOU?,/CARE PLAN TRUSTED PERSON HELP HAVE YOU/*.npy
606,Do you have a trusted person to help with your care plan?,CARE PLAN TRUSTED PERSON HELP HAVE YOU?,/CARE PLAN TRUSTED PERSON HELP HAVE YOU/*.npy
607,Do you have access to all the resources you need?,RESOURCES ALL NEED HAVE ACCESS YOU?,/RESOURCES ALL NEED HAVE ACCESS YOU/*.npy
608,Do you have access to home care services?,HOME CARE SERVICES ACCESS HAVE YOU?,/HOME CARE SERVICES ACCESS HAVE YOU/*.npy
609,Do you have accessibility needs for the appointment?,APPOINTMENT ACCESSIBILITY NEEDS HAVE YOU?,/APPOINTMENT ACCESSIBILITY NEEDS HAVE YOU/*.npy
610,Do you have allergic reaction to this medication?,"MEDICATION THIS, ALLERGIC REACTION HAVE YOU?","/MEDICATION THIS, ALLERGIC REACTION HAVE YOU/*.npy"
611,Do you have an updated action plan for your condition?,CONDITION ACTION PLAN UPDATE HAVE YOU?,/CONDITION ACTION PLAN UPDATE HAVE YOU/*.npy
612,Do you have anxiety?,ANXIETY HAVE YOU?,/ANXIETY HAVE YOU/*.npy
613,Do you have any balance or coordination problems?,BALANCE COORDINATION PROBLEM HAVE YOU?,/BALANCE COORDINATION PROBLEM HAVE YOU/*.npy
614,Do you have any changes in appetite or weight?,APPETITE WEIGHT CHANGE HAVE YOU?,/APPETITE WEIGHT CHANGE HAVE YOU/*.npy
615,do you have any chronic illnesses?,YOU HAVE CHRONIC ILLNESS ANY?,/YOU HAVE CHRONIC ILLNESS ANY?/*.npy
616,Do you have any concerns about managing future health needs?,FUTURE HEALTH NEEDS MANAGE CONCERNS HAVE YOU?,/FUTURE HEALTH NEEDS MANAGE CONCERNS HAVE YOU/*.npy
617,Do you have any concerns about managing the condition long-term?,CONDITION LONG-TERM MANAGE CONCERN ANY?,/CONDITION LONG-TERM MANAGE CONCERN ANY?/*.npy
618,Do you have any concerns about taking multiple medications?,MULTIPLE MEDICATIONS TAKE CONCERNS HAVE YOU?,/MULTIPLE MEDICATIONS TAKE CONCERNS HAVE YOU/*.npy
619,do you have any concerns about the duration or frequency of your treatment?,TREATMENT DURATION FREQUENCY CONCERN HAVE?,/TREATMENT DURATION FREQUENCY CONCERN HAVE?/*.npy
620,do you have any concerns about the long-term effects of your condition?,CONDITION LONG-TERM EFFECT CONCERN HAVE?,/CONDITION LONG-TERM EFFECT CONCERN HAVE?/*.npy
621,do you have any concerns about the potential costs of your treatment?,TREATMENT COST CONCERN HAVE?,/TREATMENT COST CONCERN HAVE?/*.npy
622,do you have any concerns about the procedures we've recommended?,PROCEDURE RECOMMEND CONCERN HAVE YOU?,/PROCEDURE RECOMMEND CONCERN HAVE YOU?/*.npy
623,Do you have any concerns about the recovery?,RECOVERY CONCERNS HAVE YOU?,/RECOVERY CONCERNS HAVE YOU/*.npy
624,do you have any concerns about the treament duration or frequency?,TREATMENT DURATION FREQUENCY CONCERN HAVE?,/TREATMENT DURATION FREQUENCY CONCERN HAVE?/*.npy
625,do you have any concerns about the treatment cost?,TREATMENT COST CONCERN HAVE?,/TREATMENT COST CONCERN HAVE?/*.npy
626,Do you have any concerns about your physical activity?,PHYSICAL ACTIVITY CONCERNS HAVE YOU?,/PHYSICAL ACTIVITY CONCERNS HAVE YOU/*.npy
627,do you have any cultural or religious considerations we should be aware of in your care?,CULTURE RELIGION CARE CONSIDER NEED?,/CULTURE RELIGION CARE CONSIDER NEED?/*.npy
628,do you have any dietary restrictions?,DIETARY RESTRICTIONS HAVE YOU?,/DIETARY RESTRICTIONS HAVE YOU?/*.npy
629,Do you have any difficulty sleeping?,SLEEPING DIFFICULTY HAVE YOU?,/SLEEPING DIFFICULTY HAVE YOU/*.npy
630,do you have any difficulty swallowing pills?,SWALLOW PILLS DIFFICULTY YOU HAVE?,/SWALLOW PILLS DIFFICULTY YOU HAVE?/*.npy
631,Do you have any family history of similar conditions?,FAMILY HISTORY CONDITION SAME HAVE?,/FAMILY HISTORY CONDITION SAME HAVE/*.npy
632,do you have any history of reactions to anesthesia or sedation?,ANESTHESIA REACTION HISTORY HAVE?,/ANESTHESIA REACTION HISTORY HAVE?/*.npy
633,Do you have any issues to remember to take your doses?,DOSES REMEMBER TAKE PROBLEM YOU?,/DOSES REMEMBER TAKE PROBLEM YOU/*.npy
634,Do you have any issues with your stitches?,STITCHES PROBLEM HAVE YOU?,/STITCHES PROBLEM HAVE YOU/*.npy
635,do you have any known allergies to medications or substances?,ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?,/ALLERGY MEDICATION OR SUBSTANCE ANY HAVE YOU?/*.npy
636,"Do you have any mobility aids, such as a walker or cane?",MOBILITY AID WALKER CANE HAVE YOU?,/MOBILITY AID WALKER CANE HAVE YOU/*.npy
637,Do you have any nausea or dizziness?,NAUSEA DIZZINESS HAVE YOU?,/NAUSEA DIZZINESS HAVE YOU/*.npy
638,Do you have any new or worsening symptoms?,SYMPTOMS NEW WORSE HAVE YOU?,/SYMPTOMS NEW WORSE HAVE YOU/*.npy
639,Do you have any pain while exercising?,EXERCISE PAIN FEEL YOU?,/EXERCISE PAIN FEEL YOU/*.npy
640,Do you have any pain?,PAIN HAVE YOU?,/PAIN HAVE YOU/*.npy
641,Do you have any questions about how to manage your symptoms at home?,SYMPTOMS HOME MANAGE QUESTIONS HAVE YOU?,/SYMPTOMS HOME MANAGE QUESTIONS HAVE YOU/*.npy
642,do you have any questions about the consent forms for your treatment?,TREATMENT CONSENT FORM QUESTION HAVE?,/TREATMENT CONSENT FORM QUESTION HAVE?/*.npy
643,do you have any questions about the follow-up procedures?,FOLLOW-UP PROCEDURE QUESTION HAVE?,/FOLLOW-UP PROCEDURE QUESTION HAVE?/*.npy
644,do you have any questions about the instructions for your post-operative care?,CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?,/CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?/*.npy
645,do you have any questions about the lifestyle recommendations we've given?,LIFESTYLE RECOMMEND QUESTION HAVE?,/LIFESTYLE RECOMMEND QUESTION HAVE?/*.npy
646,Do you have any questions about the lifestyle recommendations?,LIFESTYLE RECOMMEND QUESTION HAVE?,/LIFESTYLE RECOMMEND QUESTION HAVE?/*.npy
647,Do you have any questions about the post-surgery care instructions?,CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?,/CARE POST-OPERATIVE INSTRUCTION QUESTION HAVE?/*.npy
648,Do you have any questions about the procedure?,PROCEDURE QUESTIONS HAVE YOU?,/PROCEDURE QUESTIONS HAVE YOU/*.npy
649,Do you have any questions about the test?,TEST QUESTIONS HAVE YOU?,/TEST QUESTIONS HAVE YOU/*.npy
650,do you have any questions about the upcoming surgery?,UPCOMING SURGERY QUESTIONS ANY?,/UPCOMING SURGERY QUESTIONS ANY?/*.npy
651,Do you have any questions about what we’ll be doing in this appointment?,APPOINTMENT DOING QUESTIONS HAVE YOU?,/APPOINTMENT DOING QUESTIONS HAVE YOU/*.npy
652,Do you have any questions about your discharge instructions?,DISCHARGE INSTRUCTIONS QUESTIONS HAVE YOU?,/DISCHARGE INSTRUCTIONS QUESTIONS HAVE YOU/*.npy
653,do you have any questions about your upcoming surgery?,UPCOMING SURGERY QUESTIONS ANY?,/UPCOMING SURGERY QUESTIONS ANY?/*.npy
654,Do you have any questions regarding the discharge instructions?,DISCHARGE INSTRUCTIONS QUESTIONS HAVE YOU?,/DISCHARGE INSTRUCTIONS QUESTIONS HAVE YOU/*.npy
655,Do you have any questions regarding what we are doing in this appointment?,APPOINTMENT DOING QUESTIONS HAVE YOU?,/APPOINTMENT DOING QUESTIONS HAVE YOU/*.npy
656,do you have any questions you have about the risks or benefits of the treatment?,TREATMENT RISK BENEFIT QUESTION HAVE?,/TREATMENT RISK BENEFIT QUESTION HAVE?/*.npy
657,Do you have any rashes?,RASHES HAVE YOU?,/RASHES HAVE YOU/*.npy
658,do you have any recent changes in your weight?,WEIGHT CHANGE RECENT HAVE YOU?,/WEIGHT CHANGE RECENT HAVE YOU/*.npy
659,Do you have any respiratory problems symptoms?,RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?,/RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?/*.npy
660,Do you have any special dietary or restrictions?,DIET NEED SPECIAL OR RESTRICTION HAVE?,/DIET NEED SPECIAL OR RESTRICTION HAVE?/*.npy
661,do you have any specific dietary needs or restrictions?,DIET NEED SPECIAL OR RESTRICTION HAVE?,/DIET NEED SPECIAL OR RESTRICTION HAVE?/*.npy
662,do you have any specific goals for your health and treatment?,HEALTH GOAL SPECIFIC HAVE YOU?,/HEALTH GOAL SPECIFIC HAVE YOU?/*.npy
663,do you have any specific preferences or requests  for the treatment?,TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?,/TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?/*.npy
664,do you have any specific requests or preferences for your treatment?,TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?,/TREATMENT PREFERENCE REQUEST SPECIFIC HAVE?/*.npy
665,Do you have any support groups in your area?,SUPPORT GROUPS AREA YOUR HAVE?,/SUPPORT GROUPS AREA YOUR HAVE/*.npy
666,Do you have any unclear parts of your diagnosis?,DIAGNOSIS UNCLEAR PARTS HAVE YOU?,/DIAGNOSIS UNCLEAR PARTS HAVE YOU/*.npy
667,Do you have any unusual fatigue?,FATIGUE UNUSUAL HAVE YOU?,/FATIGUE UNUSUAL HAVE YOU/*.npy
668,Do you have anyone to assist you with your care?,CARE HELP PERSON HAVE YOU?,/CARE HELP PERSON HAVE YOU/*.npy
669,Do you have anyone to help with your care?,CARE HELP PERSON HAVE YOU?,/CARE HELP PERSON HAVE YOU/*.npy
670,do you have concerns about specific symptoms or changes?,SYMPTOM CHANGE SPECIFIC CONCERN HAVE?,/SYMPTOM CHANGE SPECIFIC CONCERN HAVE?/*.npy
671,do you have concerns about the recommended procedure?,PROCEDURE RECOMMEND CONCERN HAVE YOU?,/PROCEDURE RECOMMEND CONCERN HAVE YOU?/*.npy
672,Do you have concerns in managing future health needs?,FUTURE HEALTH NEEDS MANAGE CONCERNS HAVE YOU?,/FUTURE HEALTH NEEDS MANAGE CONCERNS HAVE YOU/*.npy
673,Do you have concerns regarding taking multiple medications?,MULTIPLE MEDICATIONS TAKE CONCERNS HAVE YOU?,/MULTIPLE MEDICATIONS TAKE CONCERNS HAVE YOU/*.npy
674,Do you have concerns regarding the physical activity?,PHYSICAL ACTIVITY CONCERNS HAVE YOU?,/PHYSICAL ACTIVITY CONCERNS HAVE YOU/*.npy
